País	Grupo	TasaNatalidad	TasaMortalidad	MortalidadInfantil	EsperanzaVidaHombre	EsperanzaVidaMujer	PNB	PoblaciónMiles	Grupos
Alemania 3	11,4	11,2	7,4	71,8	78,4	22320	16691	EO-NA_JAPON_AUSTR_NZ	
Austria	3	14,9	7,4	8	73,3	79,6	17000	7598	EO-NA_JAPON_AUSTR_NZ	
Bélgica	3	12	10,6	7,9	70	76,8	15540	9886	EO-NA_JAPON_AUSTR_NZ	
Canadá	3	14,5	7,3	7,2	73	79,8	20470	26302	EO-NA_JAPON_AUSTR_NZ	
Dinamarca	3	12,4	11,9	7,5	71,8	77,7	22080	5132	EO-NA_JAPON_AUSTR_NZ	
España	3	10,7	8,2	8,1	72,5	78,6	11020	39161	EO-NA_JAPON_AUSTR_NZ	
Finlandia	3	13,2	10,1	5,8	70,7	78,7	26040	4974	EO-NA_JAPON_AUSTR_NZ	
Francia	3	13,6	9,4	7,4	72,3	80,5	19490	56119	EO-NA_JAPON_AUSTR_NZ	
Grecia	3	10,1	9,2	11	65,4	74	5990	10039	EO-NA_JAPON_AUSTR_NZ	
Holanda	3	13,2	8,6	7,1	73,3	79,9	17320	14828	EO-NA_JAPON_AUSTR_NZ	
Irlanda	3	15,1	9,1	7,5	71	76,7	9550	3537	EO-NA_JAPON_AUSTR_NZ	
Italia	3	9,7	9,1	8,8	72	78,6	16830	57537	EO-NA_JAPON_AUSTR_NZ	
Japón	3	9,9	6,7	4	75,9	81,8	25430	123045	EO-NA_JAPON_AUSTR_NZ	
Noruega	3	14,3	10,7	7,8	67,2	75,7	NA	4215	EO-NA_JAPON_AUSTR_NZ	
Portugal	3	11,9	9,5	13,1	66,5	72,4	7600	10333	EO-NA_JAPON_AUSTR_NZ	
Suecia	3	14,5	11,1	5,6	74,2	80	23660	8485	EO-NA_JAPON_AUSTR_NZ	
Suiza	3	12,5	9,5	7,1	73,9	NA	34064	6541	EO-NA_JAPON_AUSTR_NZ	
U.K.	3	13,6	11,5	8,4	72,2	77,9	16100	57270	EO-NA_JAPON_AUSTR_NZ	
U.S.A.	3	16,7	8,1	9,1	71,5	78,3	21790	248243	EO-NA_JAPON_AUSTR_NZ	
